player,elo_hard,elo_clay,elo_grass,elo
Ittogi T.,1483.3594159987142,1500.0,1500.0,1494.4531386662381
Gonzalez F.,1682.60177776231,1755.4742065910334,1620.1385728734526,1686.0715190755989
Riba-Madrid P.,1500.0,1484.687476370507,1480.8008699138452,1488.4961154281175
Munoz de La Nava D.,1500.0,1492.6738672876845,1500.0,1497.5579557625615
Krajicek A.,1521.196849122708,1454.5414095228234,1461.2121638907156,1478.983474178749
Tursunov D.,1554.7325454995232,1503.5199692626088,1512.5388328284905,1523.597115863541
Demoliner M.,1500.0,1496.221556680228,1500.0,1498.7405188934092
Phillips T.,1489.066974556458,1500.0,1500.0,1496.3556581854862
Zayid M.,1487.9191895384142,1500.0,1500.0,1495.9730631794712
Dhamne M.,1482.4586356289817,1500.0,1500.0,1494.152878542994
Vemic D.,1475.087067676708,1512.6397912778455,1502.0554246035106,1496.594094519355
Rubin N.,1481.7701878775702,1473.0775001300449,1465.1560133424573,1473.3345671166908
Masur D.,1486.832597734868,1483.9929573983466,1484.3982731738595,1485.0746094356912
Rachidi Y.,1500.0,1483.497127433694,1500.0,1494.499042477898
Van der Dium A.,1478.8925456889901,1500.0,1500.0,1492.96418189633
Nunez E.,1483.6359692308051,1500.0,1500.0,1494.5453230769351
Baccanello P.,1466.8304765406126,1500.0,1498.8162972666764,1488.54892460243
Decoud S.,1500.0,1550.9172802288574,1485.5657706535662,1512.1610169608077
Donati M.,1500.0,1518.8612751080725,1500.0,1506.287091702691
March O.,1482.423462907454,1500.0,1500.0,1494.141154302485
Kolar Z.,1500.0,1509.0873304829456,1485.6789515337066,1498.2554273388841
Meligeni F.,1535.3447639139488,1523.9554244897984,1483.2329047998273,1514.1776977345246
Kuznetsov An.,1542.560831997016,1594.6133789748992,1472.2374600227495,1536.4705569982216
Berlocq C.,1514.304632509222,1479.7061773031674,1406.4825860794488,1466.831131963946
Gakhov I.,1500.0,1478.2644854897474,1500.0,1492.7548284965824
Coria G.,1637.3926430675656,1560.2362205651439,1555.3012554949657,1584.310039709225
Rochus C.,1389.8763860502208,1442.391283519892,1326.5497735969082,1386.2724810556738
Bryan M.,1513.6580592604964,1500.0,1472.382982888441,1495.3470140496458
Benchetrit E.,1471.452631071536,1440.9668474816199,1500.0,1470.806492851052
Dlouhy L.,1433.7146337697993,1473.9350010331239,1460.9622243086365,1456.2039530371865
Shi B.,1487.3430329195355,1500.0,1500.0,1495.7810109731784
Del Potro J. M.,1500.0,1542.3589166892687,1500.0,1514.1196388964229
Gard C.,1500.0,1484.2406813321952,1500.0,1494.7468937773983
Olaso G.,1481.7938440735627,1499.6573804036514,1500.0,1493.817074825738
Al Khulaifi N.G.,1483.2595097674184,1500.0,1500.0,1494.4198365891395
Alawadhi O.,1488.8852873391215,1500.0,1500.0,1496.2950957797073
Martineau M.,1492.932991957553,1500.0,1486.5708973162648,1493.1679630912724
Devilder N.,1430.142822685248,1470.5053960473765,1477.4181057753074,1459.355441502644
Recouderc L.,1428.0535204366581,1480.7635268110557,1500.0,1469.6056824159048
Estrella Burgos V.,1404.3240594017482,1561.15197963536,1417.0782495748972,1460.8514295373352
Soderling R.,1948.3203500808427,1894.9432189447073,1672.2576866681554,1838.5070852312354
Tseng C. H.,1485.365150333812,1493.219994858246,1500.0,1492.8617150640193
Klizan M.,1545.6814013076196,1600.7839918251202,1431.503829931381,1525.9897410213737
Petrovic D.,1469.6970010943548,1513.0565045212472,1483.27212133993,1488.6752089851773
Kindlmann D.,1474.8189000601149,1438.152822594893,1500.0,1470.9905742183357
Zovko L.,1497.1970930445007,1491.847933082053,1500.0,1496.3483420421846
Marchenko I.,1527.5568928457997,1422.4360949899171,1403.243568019404,1451.078851951707
Donski A.,1487.0975972124481,1500.0,1500.0,1495.699199070816
Marin J.A.,1469.9210038119625,1380.8504712087931,1500.0,1450.257158340252
Ferreira W.,1560.479722742494,1524.1413661711956,1556.7645876805243,1547.128558864738
Kirkin E.,1491.5940734355052,1500.0,1484.0923177168245,1491.8954637174431
Zahraj P.,1500.0,1483.8615477602857,1500.0,1494.6205159200952
Inglot D.,1472.0006819305302,1500.0,1500.0,1490.6668939768433
Vliegen K.,1454.931097124503,1493.0638808677631,1447.6423058908276,1465.2124279610314
Popko D.,1464.152865074321,1500.0,1500.0,1488.0509550247737
Faurel J.C.,1485.6232668126966,1470.6530935990295,1482.9812505221637,1479.7525369779632
Landaluce M.,1491.789245403348,1428.523155879683,1500.0,1473.4374670943437
Siemerink J.,1483.8993857482217,1446.534736042886,1465.3738826037163,1465.2693347982747
Herm-Zahlava J.,1500.0,1480.7370966152191,1500.0,1493.5790322050732
Mott B.,1480.566560129384,1500.0,1500.0,1493.5221867097946
Golmard J.,1551.741553838637,1528.5588887558051,1442.2955739399515,1507.5320055114644
Fromberg R.,1434.2465712758535,1444.90432226006,1500.0,1459.7169645119711
Pervolarakis M.,1490.2982824951011,1500.0,1500.0,1496.7660941650338
Weintraub A.,1455.1959936239903,1500.0,1483.4133713593897,1479.53645499446
Medvedev A.,1495.8112908589007,1436.7368906547058,1483.2689339737462,1471.9390384957842
Donskoy E.,1448.7051826727898,1394.4830494240593,1422.9738567402428,1422.0540296123638
Gojo B.,1517.3275820934916,1439.9923965694927,1464.2193519010427,1473.8464435213425
